Characteristic,Import volume in billion U.S. dollars
2020,325.39
2019,358.97
2018,344.27
2017,312.66
2016,293.5
2015,296.43
2014,295.73
2013,280.56
2012,277.59
2011,262.87
2010,229.99
2009,176.65
2008,215.94
2007,210.71
2006,198.25
2005,170.11
2004,155.9
2003,138.06
2002,134.62
2001,131.34
2000,135.93
1999,109.72
1998,94.63
1997,85.94
1996,74.3
1995,62.1
1994,49.49
1993,39.92
1992,35.21
1991,31.13
1990,30.16
1989,27.16
1988,23.26
1987,20.27
1986,17.3
1985,19.13
