Industry,Real value added in billion chained (2012) U.S. dollars
"Finance, insurance, real estate, rental, and leasing",43.92
Manufacturing,33.06
Professional and business services,29.3
Government and government enterprises,25.68
"Educational services, health care, and social assistance",20.16
Retail trade,11.88
Wholesale trade,11.55
Information,10.71
"Arts, entertainment, recreation, accommodation, and food services",6.33
Construction,9.05
Transportation and warehousing,5.4
"Agriculture, forestry, fishing, and hunting",5.88
Utilities,2.75
"Mining, quarrying, and oil and gas extraction",0.28
