Characteristic,Units sold
Dec 19,165
Nov 19,155
Oct 19,240
Sep 19,662
Aug 19,118
Jul 19,221
Jun 19,258
May 19,185
Apr 19,212
Mar 19,867
Feb 19,105
Jan 19,260
Dec 18,445
Nov 18,344
Oct 18,324
Sep 18,987
Aug 18,187
Jul 18,305
Jun 18,542
May 18,612
Apr 18,358
Mar 18,1107
Feb 18,141
Jan 18,279
Dec 17,272
Nov 17,366
Oct 17,303
Sep 17,780
Aug 17,152
Jul 17,275
Jun 17,438
May 17,341
Apr 17,213
Mar 17,948
Feb 17,103
Jan 17,223
Dec 16,276
Nov 16,291
Oct 16,274
Sep 16,805
Aug 16,135
Jul 16,180
