Characteristic,Damage in billion U.S. dollars
"Earthquake, Tsunami (Japan, 2011)",210.0
"Hurricane Katrina (U.S., 2005)",125.0
"Kobe earthquake (Japan, 1995)",100.0
"Hurricane Harvey(U.S., 2017)",85.0
"Sichuan earthquake (China, 2008)",85.0
"Hurricane Sandy (U.S. / Canada / Caribbean, 2012)",68.5
"Hurricane Ima (U.S. / Caribbean, 2017)",67.0
"Hurricane Maria (Caribbean, 2017)",63.0
"Northridge Earthquake (U.S., 1994)",44.0
"Flooding(Thailand, 2011)",43.0
"Hurricane Ike (U.S. / Caribbean, 2008)",38.0
"Earthquake(Japan, 2016)",31.0
"Earthquake, Tsunami (Chile, 2010)",30.0
