Industry,Real value added in billion chained (2012) U.S. dollars
Professional and business services,103.23
"Finance, insurance, real estate, rental, and leasing",87.76
Government and government enterprises,84.81
Manufacturing,40.3
"Educational services, health care, and social assistance",34.28
Retail trade,25.74
Information,21.01
Wholesale trade,20.57
Construction,17.13
"Arts, entertainment, recreation, accommodation, and food services",11.4
Transportation and warehousing,11.1
Other services (except government and government enterprises),10.26
Utilities,7.26
"Agriculture, forestry, fishing, and hunting",1.83
"Mining, quarrying, and oil and gas extraction",1.53
