Characteristic,Price in U.S. dollars per barrel
2019,63.43
2018,69.51
2017,53.13
2016,41.19
2015,51.2
2014,97.07
2013,105.47
2012,109.08
2011,106.18
2010,78.06
2009,61.39
2008,94.34
2007,68.19
2006,61.5
2005,49.35
2004,33.64
2003,26.78
2002,23.74
2001,22.81
2000,26.2
1999,17.25
1998,12.21
1997,18.23
1996,18.52
1995,16.1
1994,14.74
1993,14.93
1992,17.17
1991,16.63
1990,20.26
1989,15.65
1988,13.18
1987,16.95
1986,13.1
1985,27.53
1984,28.06
1983,28.78
1982,31.8
1981,34.32
1980,35.69
1979,29.75
1978,13.03
1977,12.38
1976,11.63
1975,10.7
1974,10.41
1973,2.83
