Characteristic,Number of students
Stockholm University,34171
University of Gothenburg,33426
Uppsala University,32051
Lund University,29829
Linköping University,22551
Umeå University,21806
Linnaeus University,20291
Malmö University,14926
KTH Royal Institute of Technology,14263
Karlstad University,10992
Örebro University,10920
Mälardalen University College,10676
Chalmers University of Technology,10102
Mid Sweden University,10007
Luleå University of Technology,9534
Dalarna University,9203
Jönköping University,9065
Gävle University College,8833
Kristianstad University,8604
University of Borås,8299
