Characteristic,Median average attendance
Roman Catholic Church,567
Muslim,250
Church of Jesus Christ of Latter-day Saints,188
Southern Baptist Convention,170
Christian Reformed Church,160
Other denominations / traditions,150
Reformed Church in America,125
Historically Black Denominations,120
Orthodox Christian,110
Non-denominational,105
Episcopal Church,104
Lutheran Church - Missouri Synod,104
Evangelical Lutheran Church in America,100
Conservative Judaism,100
Reform Judaism,95
Assemblies of God,89
Mennonite Church USA,80
American Baptist Churches USA,80
Unitarian Universalist Association,80
Christian Church (Disciples of Christ),75
Presbyterian Church (U.S.A.),70
United Church of Christ,70
Church of the Nazarene,68
United Methodist Church,60
Seventh-day Adventist Church,55
Baha'is of the United States,12
