Buyer (Seller),Value in billion U.S. dollars
"Cheung Kong, Power Assets Holdings Ltd (Envestra Ltd)",4.3
Marathon Petroleum (Hess),2.9
Vitol BV (Royal Dutch Shell - Australian downstream),2.6
Energy Transfer Partners LP (Susser Holdings Corp),2.1
Aramco (Hanjin Energy),2.0
Laclede Group (Energen),1.6
SIBUR Holding OJSC (Rosneft),1.6
Macquarie Infrastructure Co LLC (International Matex Tank Terminals Inc),1.0
ONGC-India and Oil India (Government),0.9
"Essar Global Fund, Ltd (Essar)",0.8
