Characteristic,Number of people
Chisinau,106558
Tiraspol,11121
Balti,8486
Slobozia,7331
Ialoveni,6884
Bender,6498
Anenii Noi,5891
Edinet,5697
Straseni,5522
Cahul,4965
Orhei,4698
Ribnita,4326
Briceni,3829
Ungheni,3802
Calarasi,3646
Comrat,3552
Criuleni,3453
Singerei,3169
Drochia,3168
Soroca,3145
Causeni,3099
Cimislia,3054
Falesti,3000
Hincesti,2975
Ștefan Vodă,2806
Glodeni,2590
Taraclia,2524
Floresti,2484
Ceadir-Lunga,2425
Nisporeni,2275
Ocnita,2225
Grigoriopol,2180
Telenesti,2165
Dubasari (Transnistria),2104
Rezina,2099
Riscani,2058
Donduseni,1708
Soldanesti,1704
Leova,1543
Cantemir,1454
Dubasari,1351
Basarabeasca,1191
Vulcanesti,1009
Camenca,863
