Major occupation group,"Rate per 100,000 full-time equivalent workers"
"Farming, fishing, and forestry",24.5
Transportation and material moving,15.2
Construction and extraction,12.9
"Installation, maintenance, and repair",8.8
Protective service,6.7
"Building, grounds cleaning and maintenance",6.7
"Arts, design, entertainment, sports, and media",1.3
Management,1.9
Sales and related,1.7
Food preparation and serving,1.5
Personal care and service,1.2
"Life, physical, and social science",1.1
Healthcare support,1.1
Architecture and engineering,1.3
Community and social services,1.2
Legal,0.5
Healthcare practitioners and technical,0.6
Business and financial operations,0.4
Office and administrative support,0.6
"Education, training, and library",0.3
Computer and mathematical,0.3
