Characteristic,Number of speeches
Antony and Cleopatra,1361
Othello,1309
Troilus and Cressida,1301
Hamlet,1250
Coriolanus,1240
Richard III,1224
King Lear,1181
The Merry Wives of Windsor,1163
Love's Labour's Lost,1123
Much Ado About Nothing,1062
All's Well That Ends Well,1034
Twelfth Night,1031
Romeo and Juliet,989
Measure for Measure,987
Henry IV - Part 2,987
Cymbeline,979
The Taming of the Shrew,965
Henry VI - Part 3,949
The Two Gentlemen of Verona,943
Henry VI - Part 2,921
Julius Caesar,895
As You Like It,872
Timon of Athens,870
Henry V,853
The Winter's Tale,814
Henry VIII,788
Henry VI - Part 1,787
Henry IV - Part 1,787
Macbeth,765
"Pericles, Prince of Tyre",756
The Merchant of Venice,722
The Tempest,702
The Comedy of Errors,664
Titus Andronicus,662
Richard II,636
King John,621
A Midsummer Night's Dream,605
