Characteristic,Percentage of counties present
United Methodist Church,95.2%
Catholic Church,94.2%
Southern Baptist Convention,86%
Non-denominational Christian Churches,84.8%
Assemblies of God,81.5%
Bahá'í,80.6%
Churches of Christ,77.2%
Presbyterian Church (U.S.A.),75%
Jehovah's Witnesses,70.7%
Episcopal Church,65.2%
Church of Jesus Christ of Latter-day Saints,59.6%
Seventh-day Adventist Church,58.1%
Lutheran Church--Missouri Synod,57.4%
Church of the Nazarene,56.2%
Evangelical Lutheran Church in America,55.3%
United Pentecostal Church International,53.5%
"Church of God (Cleveland, Tennessee)",50.8%
Christian Churches and Churches of Christ,50.3%
Christian Church (Disciples of Christ),40.7%
United Church of Christ,37.2%
