County,Resident population in million
"Los Angeles County, California",10.04
"Cook County, Illinois",5.15
"Harris County, Texas",4.71
"Maricopa County, Arizona",4.49
"San Diego County, California",3.34
"Orange County, California",3.18
"Miami-Dade County, Florida",2.72
"Dallas County, Texas",2.64
"Kings County, New York",2.56
"Riverside County, California",2.47
"Clark County, Nevada",2.27
"Queens County, New York",2.25
"King County, Washington",2.25
"San Bernardino County, California",2.18
"Tarrant County, Texas",2.1
"Bexar County, Texas",2.0
"Broward County, Florida",1.95
"Santa Clara County, California",1.93
"Wayne County, Michigan",1.75
"Alameda County, California",1.67
"New York County, New York",1.63
"Middlesex County, Massachusetts",1.61
"Philadelphia County, Pennsylvania",1.58
"Sacramento County, California",1.55
"Palm Beach County, Florida",1.5
