Characteristic,Academic reputation index score
Universidade de São Paulo (USP) (Brazil),82.4
Universidad Nacional Autónoma de México (UNAM) (Mexico),80.7
Pontificia Universidad Católica de Chile (UC) (Chile),77.8
Universidad de Buenos Aires (UBA) (Argentina),76.6
Universidade Estadual de Campinas (Unicamp) (Brazil),76.2
Universidad de Chile (Chile),75.1
Universidad Nacional de Colombia (Colombia),74.8
Universidade Federal do Rio de Janeiro (UFRJ) (Brazil),71.2
UNESP (Brazil),71.0
Pontificia Universidad Javeriana (Colombia),69.5
