Characteristic,Gross domestic product in billion U.S. dollars
2026*,69.12
2025*,66.42
2024*,63.7
2023*,61.09
2022*,58.5
2021*,55.46
2020*,55.71
2019,62.21
2018,64.77
2017,64.23
2016,57.24
2015,53.28
2014,57.24
2013,57.53
2012,51.27
2011,47.96
2010,40.29
2009,31.66
2008,30.37
2007,23.46
2006,19.62
2005,17.4
2004,13.71
2003,12.07
2002,13.63
2001,20.91
2000,22.83
1999,24.0
1998,25.39
1997,23.97
1996,22.66
1995,21.31
1994,19.3
1993,16.57
1992,14.22
1991,12.38
1990,10.27
1989,8.83
1988,8.38
1987,8.1
1986,6.47
