Industry,Real value added in billion chained (2012) U.S. dollars
"Finance, insurance, real estate, rental, and leasing",49.85
Professional and business services,40.56
Manufacturing,34.16
Government and government enterprises,32.06
"Educational services, health care, and social assistance",29.25
Wholesale trade,18.72
Retail trade,18.03
Information,12.99
"Arts, entertainment, recreation, accommodation, and food services",8.56
Transportation and warehousing,8.16
Construction,9.44
Other services (except government and government enterprises),5.72
Utilities,4.88
"Agriculture, forestry, fishing, and hunting",4.82
"Mining, quarrying, and oil and gas extraction",1.0
