Characteristic,Inflation rate compared to previous year
2026*,3.1%
2025*,3.1%
2024*,3.1%
2023*,3.1%
2022*,3.7%
2021*,4.9%
2020*,5.07%
2019,3.32%
2018,2.04%
2017,0.66%
2016,1.76%
2015,1.28%
2014,4.13%
2013,6.37%
2012,4.26%
2011,7.58%
2010,5.98%
2009,0.03%
2008,7.63%
2007,4.76%
2006,6.55%
2005,7.17%
2004,10.47%
2003,15.49%
2002,10.63%
2001,7.81%
2000,8.37%
1999,128.41%
1998,90.14%
1997,19.54%
1996,19.15%
1995,19.08%
1994,7.67%
1993,5.65%
1992,9.85%
1991,13.44%
1990,-26.32%
1989,59.7%
1988,14.8%
1987,6.11%
1986,35%
