Characteristic,Gross domestic product in billion U.S. dollars
2026*,21.09
2025*,19.78
2024*,18.52
2023*,17.28
2022*,15.97
2021*,14.75
2020*,13.84
2019*,14.52
2018,13.97
2017,13.18
2016,11.85
2015,11.32
2014,12.52
2013,12.42
2012,11.58
2011,11.55
2010,9.98
2009,9.62
2008,10.73
2007,8.53
2006,6.4
2005,5.86
2004,5.07
2003,6.37
2002,5.35
2001,5.44
2000,4.63
1999,4.28
1998,4.4
1997,4.26
1996,4.93
1995,3.84
1994,3.52
1993,4.06
1992,3.72
1991,3.26
1990,3.93
1989,3.18
1988,3.19
1987,3.21
1986,4.35
