Characteristic,Number of YouTube views in millions
Fifty Shades Of Grey - Official Trailer (Universal Pictures) HD,67
"Marvel's ""Avengers: Age of Ultron"" - Teaser Trailer (OFFICIAL)",64
Star Wars: Episode VII - The Force Awakens Official Teaser Trailer #1 (2015) - J.J. Abrams Movie HD,52
Jurassic World - Official Trailer (HD),44
TEENAGE MUTANT NINJA TURTLES - Official Trailer (2014) [HD],43
Furious 7 - Official Trailer (HD),37
Godzilla - Official Main Trailer [HD],36
"Lucy TRAILER 1 (2014) - Luc Besson, Scarlett Johansson Movie HD",36
The Fault In Our Stars | Official Trailer [HD] | 20th Century FOX,29
Official Call of Duty: Advanced Warfare Reveal Trailer,26
