Characteristic,Inflation rate compared to previous year
2026*,2%
2025*,2%
2024*,2%
2023*,1.96%
2022*,1.86%
2021*,1.51%
2020,0.85%
2019,1.79%
2018,2.48%
2017,2.68%
2016,0.66%
2015,0.04%
2014,1.46%
2013,2.57%
2012,2.83%
2011,4.46%
2010,3.3%
2009,2.17%
2008,3.6%
2007,2.32%
2006,2.33%
2005,2.06%
2004,1.34%
2003,1.36%
2002,1.26%
2001,1.23%
2000,0.8%
1999,1.33%
1998,1.56%
1997,1.83%
1996,2.43%
1995,2.63%
1994,1.99%
1993,2.53%
1992,4.23%
1991,7.52%
1990,7%
1989,5.22%
1988,4.61%
1987,4.07%
1986,3.63%
