Characteristic,Gross domestic product in billion U.S. dollars
2026*,2220.72
2025*,2137.99
2024*,2052.93
2023*,1967.85
2022*,1885.68
2021*,1806.71
2020,1630.87
2019,1646.74
2018,1725.37
2017,1623.07
2016,1499.36
2015,1465.77
2014,1484.32
2013,1370.8
2012,1278.43
2011,1253.16
2010,1143.98
2009,943.67
2008,1047.34
2007,1172.61
2006,1053.22
2005,934.9
2004,793.18
2003,702.72
2002,627.25
2001,547.66
2000,576.18
1999,497.51
1998,383.33
1997,569.76
1996,610.17
1995,566.58
1994,463.62
1993,392.67
1992,355.53
1991,330.65
1990,283.37
1989,246.93
1988,199.59
1987,147.95
1986,116.84
