Characteristic,Net income in million U.S. dollars
Q2 21,912
Q1 21,29
Q4 20,-710
Q3 20,-4718
Q2 20,468
Q1 20,2128
Q4 19,785
Q3 19,1430
Q2 19,5431
Q1 19,2788
Q4 18,2322
Q3 18,2916
Q2 18,2937
Q1 18,4423
Q4 17,1747
Q3 17,2366
Q2 17,2388
Q1 17,2479
Q4 16,1771
Q3 16,2597
Q2 16,2143
Q1 16,2880
Q4 15,1609
Q3 15,2483
Q2 15,2108
Q1 15,2228
Q4 14,1499
Q3 14,2245
Q2 14,1917
Q1 14,1840
Q4 13,1394
Q3 13,1847
Q2 13,1513
Q1 13,1382
Q4 12,1244
Q3 12,1831
Q2 12,1143
Q1 12,1464
Q4 11,1087
Q3 11,1476
Q2 11,942
Q1 11,1302
Q4 10,835
Q3 10,1331
Q2 10,953
Q1 10,844
