Characteristic,Contemporary,Impressionist and Modern,Chinese Art,Old Masters
2017,3.28,2.41,1.74,0.8
2016,2.3,1.54,1.13,0.34
2015,3.74,2.74,1.46,0.33
2014,3.98,2.4,1.63,0.77
2013,3.39,2.07,1.8,0.42
2012,2.73,1.89,1.53,0.49
2011,2.06,1.74,2.16,0.31
2010,1.69,2.19,1.58,0.36
2009,0.79,0.05,0.73,0.41
2008,2.57,2.3,0.62,0.41
2007,2.19,2.21,0.6,0.62
2006,1.26,1.5,0.69,0.52
2005,0.87,1.06,0.56,0.33
2004,0.62,1.17,0.37,0.23
2003,0.4,0.62,0.2,0.18
2002,0.44,0.65,0.17,0.25
2001,0.31,0.58,0.18,0.2
2000,0.27,0.51,0.21,0.28
