"Project title (city, state)",Project value in million U.S. dollars
"Jacksonville Jaguars Lot(Jacksonville, FL)",2000
"North Carolina Football Club MLS Soccer Stadium Complex (Buffalo, NY)",1900
"Greater Buffalo Sports and Entertainment Complex(Buffalo, NY)",1400
"Baltimore Street Arena(Baltimore, MD)",1000
"National Western Center(Denver, CO)",1000
"Beckham's Miami Freedom Park - United MLS Stadium(Miami, FL)",1000
"Ronkonkoma Sports Arena (Ronkonkoma, NY)",1000
"Keyarena Renovation (Seattle, WA)",850
"TEGA Gymnastics Facility/TEGA's Kid's Superplex (Lubbock, TX)",700
"Oakland A's Waterfront Ballpark at Howard Terminal (Oakland, CA)",623
