Characteristic,Fertility rate
2020,1.85
2015,1.98
2010,1.98
2005,1.88
2000,1.76
1995,1.7
1990,1.8
1985,1.86
1980,1.86
1975,2.31
1970,2.65
1965,2.85
1960,2.7
1955,2.76
1950,2.98
1945,2.13
1940,2.1
1935,2.16
1930,2.3
1925,2.44
1920,1.68
1915,2.26
1910,2.61
1905,2.8
1900,2.89
1895,2.96
1890,3.14
1885,3.38
1880,3.46
1875,3.44
1870,3.5
1865,3.51
1860,3.45
1855,3.36
1850,3.5
1845,3.53
1840,3.59
1835,3.67
1830,3.74
1825,3.8
1820,3.85
1815,3.88
1810,4.0
1805,4.26
1800,4.41
