Characteristic,Finnish,Swedish,Sami,Foreign languages
Uusimaa,1321843,130539,133,250163
Southwest Finland,416228,27353,23,37858
Satakunta,206082,789,2,8543
Kanta-Häme,162367,653,8,7549
Pirkanmaa,493909,1992,30,26921
Päijät-Häme,193469,764,28,11510
Kymenlaakso,151417,1237,3,10155
South Karelia,118423,223,3,8272
South Savo,127832,211,3,4656
North Savo,236490,236,4,7506
North Karelia,156829,144,7,6557
Central Finland,262291,466,27,9833
South Ostrobothnia,186902,641,4,4603
Ostrobothnia,73610,89085,8,13113
Central Ostrobothnia,59699,6149,1,2139
North Ostrobothnia,399994,808,173,12855
Kainuu,69345,80,2,2237
Lapland,169482,481,1549,5153
Åland,1405,25986,0,2738
