Characteristic,Fertility rate
2020,1.59
2015,1.43
2010,1.36
2005,1.35
2000,1.35
1995,1.3
1990,1.43
1985,1.46
1980,1.51
1975,1.71
1970,2.36
1965,2.47
1960,2.27
1955,2.13
1950,2.07
1945,1.9
1940,2.24
1935,1.77
1930,1.98
1925,2.46
1920,2.45
1915,3.47
1910,4.29
1905,4.75
1900,5.02
1895,5.15
1890,5.22
1885,5.24
1880,5.22
1875,5.35
1870,5.13
1865,5.0
1860,4.67
1855,4.6
1850,5.01
1845,4.97
1840,4.9
1835,4.85
1830,4.97
1825,5.31
1820,5.34
1815,5.34
1810,5.36
1805,5.39
1800,5.4
