Characteristic,France,Spain,Italy,Germany,EU-27
Mar 2021,84.1,83.1,90.0,70.8,87.6
Feb 2021,89.0,89.0,86.3,70.4,86.7
Jan 2021,96.7,102.9,92.6,76.3,91.5
Dec 2020,98.2,106.8,94.2,83.4,97.5
Nov 2020,96.8,106.6,97.1,83.3,98.1
Oct 2020,101.2,114.5,94.9,80.9,97.2
Sep 2020,102.5,103.8,87.8,75.1,91.7
Aug 2020,94.4,94.5,88.9,69.7,86.3
Jul 2020,79.3,97.1,82.5,75.7,86.6
Jun 2020,66.9,80.8,51.9,70.4,76.6
May 2020,37.7,42.5,40.6,45.6,49.7
Apr 2020,4.5,8.7,11.5,14.3,16.4
Mar 2020,56.0,58.9,32.2,59.6,66.0
Feb 2020,102.7,106.1,94.4,89.4,100.9
Jan 2020,98.1,105.7,90.0,89.1,100.1
