Characteristic,Debt in trillion U.S. dollars
Q1 2021,11.07
Q4 2020,10.94
Q3 2020,10.8
Q2 2020,10.65
Q1 2020,10.57
Q4 2019,10.48
Q3 2019,10.42
Q2 2019,10.34
Q1 2019,10.26
Q4 2018,10.2
Q3 2018,10.15
Q2 2018,10.07
Q1 2018,9.99
Q4 2017,9.93
Q3 2017,9.86
Q2 2017,9.79
Q1 2017,9.73
Q4 2016,9.66
Q3 2016,9.61
Q2 2016,9.56
Q1 2016,9.51
Q4 2015,9.49
Q3 2015,9.43
Q2 2015,9.41
Q1 2015,9.38
Q4 2014,9.39
Q3 2014,9.38
Q2 2014,9.4
Q1 2014,9.42
Q4 2013,9.44
Q3 2013,9.45
Q2 2013,9.47
Q1 2013,9.5
Q4 2012,9.54
Q3 2012,9.59
Q2 2012,9.66
Q1 2012,9.73
