Characteristic,Turnover in million SEK
GE Healthcare Bio-Sciences AB,18550
Cytiva Sweden AB,6790
Upplands Motor Holding AB,5051
Beijer Alma AB,4622
Fresenius Kabi AB,4228
Uppsala Stadshus AB,3232
Stora Enso Pulp AB,1896
"Sven Heribert, AB",1602
Erasteel Kloster AB,1517
Q-Med AB,1296
Nordex Sverige AB,1176
Biotage AB,1101
Svensk Dos AB,954
Orexo AB,845
Madhat AB,843
Didner & Gerge Fonder AB,795
Byggconstruct i Uppsala Holding AB,767
Serdan Holding AB,704
Angel Fall AB,651
Ge-Te Media AB,632
