Characteristic,Estimated value in U.S dollars
Pokémon Pikachu Illustrator Card,100000
Pokemon Snap Card*,15989
Japanese L-P Promo Cards (Master Key),10000
Pre-Release Raichu Card,10000
Tropical Mega Battle Card,10000
Japanese Parent/Child Mega Battle Card,10000
Mint Condition Crystal Cards set*,9875
First Edition Holofoils set*,8496
Munchlax (Chicago 2009) Promo card,4500
Piplup (San Diego 2007) Promo card,4500
Turtwig (New York 2008) Promo card,4500
First Edition Charizard Card,575
