Characteristic,Rate of unemployment
Lakshadweep,25.3%
Nagaland,21.1%
A.& N. Islands,17.4%
Mizoram,14.4%
Goa,13.8%
Kerala,13.2%
Manipur,11.4%
Jharkhand,10.5%
Puducherry,10.3%
Jammu & Kashmir,10%
Arunachal Pradesh,9.9%
Delhi,9.8%
Uttar Pradesh,9.7%
Uttarakhand,9.5%
Telangana,9.4%
Chandigarh,9.2%
Bihar,9%
Tripura,8.7%
Himachal Pradesh,8.7%
Odisha,8.3%
Punjab,7.7%
Madhya Pradesh,7.7%
Chhatisgarh,7.5%
Maharashtra,7.4%
Haryana,7.3%
Tamil Nadu,7.2%
Rajasthan,7.2%
Meghalaya,6.7%
Andhra Pradesh,6.6%
Karnataka,6.5%
West Bengal,6.5%
Assam,6.3%
Sikkim,5.8%
Gujarat,4.3%
Daman & Diu,2.6%
D.& N.Haveli,0.1%
