Characteristic,Gross domestic product in billion U.S. dollars
2026*,24127.83
2025*,22481.43
2024*,20910.47
2023*,19423.48
2022*,18013.4
2021*,16642.32
2020,14722.84
2019,14340.6
2018,13841.9
2017,12265.32
2016,11227.08
2015,11113.53
2014,10524.21
2013,9625.04
2012,8539.47
2011,7492.26
2010,6033.81
2009,5088.99
2008,4577.4
2007,3555.68
2006,2754.11
2005,2290.09
2004,1949.49
2003,1656.95
2002,1465.84
2001,1333.67
2000,1205.52
1999,1088.34
1998,1024.17
1997,957.99
1996,860.48
1995,731.02
1994,561.69
1993,617.43
1992,492.16
1991,413.22
1990,396.58
1989,458.17
1988,408.65
1987,327.72
1986,300.92
1985,310.15
