Characteristic,Net income in billion U.S. dollars
Q1 '21,3.33
Q4 '20,3.38
Q3 '20,2.02
Q2 '20,2.99
Q1 '20,2.15
Q4'19,3.16
Q3'19,3.22
Q2'19,3.13
Q1'19,3.55
Q4'18,2.51
Q3'18,2.89
Q2'18,3.22
Q1'18,3.12
Q4'17,14.99
Q3'17,2.65
Q2'17,2.51
Q1'17,2.57
Q4'16,2.3
Q3'16,2.24
Q2'16,2.03
Q1'16,2.13
Q4'15,1.97
Q3'15,2.04
Q2'15,2.14
Q1'15,2.06
Q4'14,1.93
Q3'14,2.59
Q2'14,1.99
Q1'14,1.87
Q4'13,1.91
Q3'13,1.73
Q2'13,1.73
Q1'13,1.44
Q4'12,1.52
Q3'12,2.11
Q2'12,1.35
Q1'12,1.22
Q4'11,1.29
Q3'11,0.91
Q2'11,1.02
Q1'11,0.94
