Characteristic,Number of stores
California,592
Washington,219
Texas,208
Illinois,183
Arizona,134
Oregon,122
Colorado,105
Massachusetts,76
New Jersey,73
Maryland,65
Pennsylvania,50
Nevada,50
Idaho,42
Virginia,38
Montana,38
New Mexico,34
Alaska,26
New Hampshire,26
Hawaii,23
Maine,21
Vermont,19
Delaware,18
New York,16
Louisiana,16
Wyoming,14
District of Columbia,11
Rhode Island,8
Utah,6
Nebraska,5
Connecticut,4
Indiana,4
South Dakota,3
North Dakota,1
Iowa,1
Arkansas,1
