Characteristic,Number of viewers in thousands
April 2021,71.4
March 2021,82.0
February 2021,76.9
January 2021,49.15
December 2020,47.71
November 2020,60.57
October 2020,35.25
September 2020,34.16
August 2020,34.6
July 2020,32.27
June 2020,39.72
May 2020,41.4
April 2020,23.53
March 2020,29.61
February 2020,40.7
January 2020,18.51
December 2019,16.65
November 2019,18.19
October 2019,35.84
September 2019,20.41
August 2019,26.22
July 2019,36.94
June 2019,16.15
May 2019,18.77
April 2019,34.8
March 2019,80.19
February 2019,218.0
