Characteristic,Expenditure in million GBP
Q3 2020,11772
Q2 2020,12392
Q1 2020,11141
Q4 2019,10853
Q3 2019,10871
Q2 2019,10834
Q1 2019,10997
Q4 2018,11128
Q3 2018,11203
Q2 2018,11207
Q1 2018,10812
Q4 2017,10756
Q3 2017,10596
Q2 2017,10535
Q1 2017,10336
Q4 2016,10197
Q3 2016,10085
Q2 2016,10097
Q1 2016,10045
Q4 2015,10162
Q3 2015,10124
Q2 2015,10149
Q1 2015,10332
Q4 2014,10433
Q3 2014,10492
Q2 2014,10441
Q1 2014,10755
Q4 2013,10637
Q3 2013,10754
Q2 2013,10306
Q1 2013,10649
Q4 2012,10303
Q3 2012,10193
Q2 2012,10202
Q1 2012,10421
