Characteristic,Share of gross domestic product
Manufacturing,19.88%
"Agriculture, forestry and fishing",13.7%
"Wholesale and retail trade, repair of motor vehicles and motorcycles",12.93%
Construction,10.71%
Mining and quarrying,6.44%
Information and communication,4.51%
Financial and insurance activities,4.51%
Transportation and storage,4.47%
"Public administration and defence, compulsory social security",3.76%
Education,3.56%
Real estate activities,2.94%
Accommodation and food service activities,2.55%
Other services activities,1.96%
Business activities,1.91%
Human health and social work activities,1.3%
Electricity and gas,1.16%
"Water, sewage and waste management",0.07%
