Characteristic,Inflation rate compared to previous year
2026*,2%
2025*,2%
2024*,1.8%
2023*,1.6%
2022*,1.6%
2021*,2%
2020*,2.5%
2019,0.81%
2018,0.42%
2017,0.69%
2016,0.72%
2015,1.24%
2014,0.45%
2013,2.58%
2012,1.3%
2011,4.9%
2010,1.37%
2009,1.01%
2008,6.32%
2007,1.9%
2006,2.47%
2005,3.88%
2004,1.46%
2003,3.3%
2002,3.08%
2001,4.36%
2000,2.53%
1999,0.74%
1998,4.5%
1997,6.3%
1996,2.7%
1995,14.1%
1994,25.96%
1993,2.13%
1992,4.22%
1991,1.58%
1990,-0.66%
1989,0.99%
1988,6.94%
1987,6.98%
1986,6.84%
