Characteristic,Receipts in trillion U.S. dollars
Q4 '20,6.01
Q3 '20,5.89
Q2 '20,5.55
Q1 '20,5.93
Q4 '19,5.93
Q3 '19,5.86
Q2 '19,5.89
Q1 '19,5.8
Q4 '18,5.73
Q3 '18,5.72
Q2 '18,5.6
Q1 '18,5.58
Q4 '17,6.6
Q3 '17,5.52
Q2 '17,5.45
Q1 '17,5.47
Q4 '16,5.43
Q3 '16,5.39
Q2 '16,5.33
Q1 '16,5.31
Q4 '15,5.45
Q3 '15,5.3
Q2 '15,5.3
Q1 '15,5.21
Q4 '14,5.12
Q3 '14,5.1
Q2 '14,5.08
Q1 '14,5.01
Q4 '13,4.98
Q3 '13,4.79
Q2 '13,4.97
Q1 '13,4.69
Q4 '12,4.44
Q3 '12,4.32
Q2 '12,4.3
Q1 '12,4.27
Q4 '11,4.18
Q3 '11,4.14
Q2 '11,4.14
Q1 '11,4.12
Q4 '10,4.05
Q3 '10,4.0
Q2 '10,3.91
Q1 '10,3.85
Q4 '09,3.79
Q3 '09,3.71
Q2 '09,3.69
Q1 '09,3.7
