Characteristic,Population grwoth compared to the previous year
Malta,3.65%
Luxembourg,1.95%
Ireland,1.51%
Sweden,1.08%
Cyprus,0.78%
Slovenia,0.68%
Netherlands,0.59%
Spain,0.59%
Belgium,0.5%
Denmark,0.43%
Austria,0.41%
Czech Republic,0.37%
Estonia,0.35%
Germany,0.27%
Euro area,0.22%
European Union,0.16%
France,0.14%
Slovak Republic,0.13%
Finland,0.09%
Poland,-0.01%
Hungary,-0.06%
Portugal,-0.14%
Greece,-0.15%
Italy,-0.21%
Lithuania,-0.53%
Romania,-0.6%
Bulgaria,-0.7%
Latvia,-0.75%
