Characteristic,Male,Female
2020,33.23,30.78
2019,33.37,30.59
2018,33.15,30.4
2017,32.94,30.24
2016,32.79,30.11
2015,32.57,29.96
2014,32.42,29.81
2013,32.21,29.59
2012,32.13,29.41
2011,31.9,29.14
2010,31.84,28.91
2009,31.61,28.71
2008,31.38,28.32
2007,31.11,28.09
2006,30.96,27.79
2005,30.87,27.72
2004,30.53,27.52
2003,30.14,27.27
2002,29.77,27.01
2001,29.55,26.78
2000,29.28,26.49
1999,29.07,26.29
1998,28.83,26.02
1997,28.59,25.71
1996,28.4,25.45
1995,28.36,25.32
1994,28.21,25.14
1993,28.09,25.01
1992,28.01,24.93
1991,27.91,24.84
1990,27.79,24.78
