Characteristic,Live births per thousand people
2020,9.4
2015,8.5
2010,8.4
2005,8.8
2000,9.6
1995,9.9
1990,11.0
1985,10.7
1980,10.3
1975,11.3
1970,16.0
1965,17.7
1960,16.6
1955,15.7
1950,16.52
1945,15.78
1940,17.93
1935,14.98
1930,17.64
1925,20.25
1920,16.71
1915,26.47
1910,31.75
1905,33.87
1900,35.91
1895,36.69
1890,36.62
1885,36.8
1880,38.8
1875,39.76
1870,38.14
1865,37.12
1860,34.72
1855,34.2
1850,37.24
1845,36.94
1840,36.4
1835,36.04
1830,36.94
1825,39.42
1820,39.26
1815,37.59
1810,37.74
1805,37.91
1800,37.98
