Characteristic,Export volume in million U.S. dollars
2020,2788.4
2019,3178.3
2018,2686.4
2017,2173.2
2016,1894.7
2015,3431.4
2014,5965.9
2013,6388.4
2012,5029.3
2011,4904.8
2010,4060.5
2009,3687.1
2008,4102.4
2007,2777.9
2006,2233.5
2005,1619.8
2004,1544.3
2003,1016.9
2002,1057.7
2001,955.1
2000,721.9
1999,627.9
1998,816.7
1997,813.0
1996,818.4
1995,602.9
1994,509.0
1993,894.7
1992,1001.1
1991,831.4
1990,553.2
1989,490.3
1988,356.8
1987,295.2
1986,408.8
1985,675.7
