Characteristic,Revenue in million U.S. dollars
Star Wars: The Force Awakens,936.66
Star Wars: The Last Jedi,620.18
Rogue One: A Star Wars Story,532.18
Star Wars Episode IX: The Rise of Skywalker,515.2
Star Wars Episode I: The Phantom Menace,431.09
Star Wars Episode III: Revenge of the Sith,380.27
Star Wars Episode IV: A New Hope,307.26
Star Wars Episode II: Attack of the Clones,302.19
Star Wars Episode VI: Return of the Jedi,252.58
Solo: A Star Wars Story,213.77
Star Wars Episode V: The Empire Strikes Back,209.4
