Characteristic,Gross domestic product in billion U.S. dollars
2026*,46.41
2025*,44.3
2024*,42.34
2023*,40.54
2022*,38.92
2021*,37.5
2020*,33.9
2019,38.47
2018,37.65
2017,35.47
2016,32.24
2015,31.05
2014,33.39
2013,32.54
2012,30.75
2011,28.78
2010,25.71
2009,22.94
2008,25.71
2007,21.73
2006,18.51
2005,15.97
2004,13.15
2003,11.08
2002,9.59
2001,9.19
2000,9.06
1999,7.58
1998,7.0
1997,7.32
1996,7.06
1995,6.79
1994,6.41
1993,5.99
1992,5.44
1991,5.21
1990,4.97
1989,4.68
1988,4.48
1987,3.63
1986,3.35
