Characteristic,Net employment outlook*
"Greenville-Mauldin-Easley, South Carolina",24%
"Knoxville, Tennessee",24%
"Syracuse, New York",21%
"Tulsa, Oklahoma",20%
"Oklahoma City, Oklahoma",20%
"Portland-South Portland-Biddeford, Maine",19%
"Denver-Aurora, Colorado",18%
"Bridgeport-Stamford-Norwalk, Connecticut",18%
"Columbus, Ohio",18%
"Boise City-Nampa, Idaho",17%
"Grand Rapids-Wyoming, Michigan",17%
"Des Moines-West Des Moines, Iowa",17%
"Phoenix-Mesa-Scottsdale, Arizona",17%
"New York-Northern New Jersey-Long Island, New York-New Jersey-Pennsylvania",6%
"Jackson, Mississippi",6%
"Lakeland-Winter Haven, Florida",6%
"Las-Vegas-Paradise, Nevada",5%
"Providence-New Bedford-Fall River, Rhode Island-Massachusetts",5%
"Rochester, New York",4%
"Scranton-Wilkes-Barre, Pennsylvania",3%
"Reno-Sparks, Nevada",3%
"Sacramento-Arden-Arcade-Roseville, California",3%
"Jacksonville, Florida",2%
