Characteristic,Units sold
Dec 19,708
Nov 19,157
Oct 19,88
Sep 19,526
Aug 19,52
Jul 19,103
Jun 19,244
May 19,138
Apr 19,101
Mar 19,632
Feb 19,74
Jan 19,174
Dec 18,193
Nov 18,145
Oct 18,135
Sep 18,829
Aug 18,100
Jul 18,112
Jun 18,265
May 18,231
Apr 18,153
Mar 18,761
Feb 18,62
Jan 18,155
Dec 17,246
Nov 17,216
Oct 17,99
Sep 17,510
Aug 17,44
Jul 17,152
Jun 17,202
May 17,155
Apr 17,123
Mar 17,706
Feb 17,48
Jan 17,178
Dec 16,330
Nov 16,219
Oct 16,256
Sep 16,762
Aug 16,69
Jul 16,148
