Characteristic,GDP per capita in U.S. dollars
2026*,24681.44
2025*,24069.84
2024*,23629.95
2023*,23168.48
2022*,22869.19
2021*,22700.14
2020*,20178.23
2019,23266.49
2018,23538.93
2017,21113.96
2016,20288.92
2015,21063.31
2014,24929.32
2013,24892.99
2012,25208.16
2011,23654.87
2010,19163.34
2009,16094.68
2008,20157.3
2007,16666.63
2006,15603.99
2005,14068.22
2004,11467.1
2003,9800.53
2002,8822.51
2001,8778.39
2000,9256.54
1999,8092.7
1998,7525.3
1997,8706.35
1996,8527.67
1995,7893.42
1994,7626.36
1993,7686.01
1992,8077.77
1991,8280.18
1990,7734.98
1989,6583.29
1988,6398.84
1987,6524.16
1986,6955.05
