Characteristic,Requests in millions
Jan 19,356
Mar 18,315
Feb 18,285
Jan 18,328
Dec 17,327
Sep 17,239
Jul 17,236
Jun 17,256
May 17,271
Apr 17,274
Mar 17,298
Feb 17,277
Jan 17,304
Dec 16,351
Nov 16,350
Oct 16,351
Sep 16,310
Aug 16,321
Jul 16,300
Jun 16,290
May 16,273
Apr 16,286
Mar 16,308
Feb 16,298
Jan 16,315
Dec 15,309
Nov 15,310
Oct 15,313
Sep 15,334
Aug 15,278
Jul 15,258
Jun 15,251
May 15,280
Apr 15,275
Mar 15,281
Feb 15,315
Jan 15,352
Dec 14,337
Nov 14,336
Oct 14,320
Sep 14,261
Aug 14,247
Jul 14,237
Jun 14,264
May 14,276
Apr 14,269
Mar 14,322
Feb 14,302
Jan 14,316
