Characteristic,Number of deaths per million population
Hungary,3069.65
Czechia,2833.19
Bulgaria,2593.26
Slovakia,2291.92
Slovenia,2265.42
Belgium,2184.26
Italy,2137.3
Croatia,2021.11
Poland,1975.31
United Kingdom,1882.17
Romania,1723.38
Spain,1706.84
Portugal,1659.49
France,1648.79
Lithuania,1567.95
Liechtenstein,1522.7
Sweden,1416.21
Latvia,1312.07
Luxembourg,1306.48
Greece,1181.5
Austria,1176.38
Germany,1091.33
Netherlands,1017.89
Ireland,1004.95
Estonia,954.87
Malta,816.22
Denmark,435.02
Cyprus,421.17
Finland,176.1
Norway,147.55
Iceland,82.39
