Characteristic,Gross domestic product in billion U.S. dollars
2026*,604.26
2025*,582.13
2024*,560.56
2023*,537.76
2022*,514.96
2021*,481.8
2020*,428.62
2019,445.13
2018,455.3
2017,417.09
2016,395.73
2015,382.01
2014,442.7
2013,430.2
2012,409.66
2011,431.61
2010,392.6
2009,401.32
2008,432.01
2007,389.23
2006,336.3
2005,316.27
2004,301.32
2003,262.21
2002,214.24
2001,197.51
2000,197.38
1999,217.48
1998,218.56
1997,213.05
1996,237.34
1995,241.23
1994,203.97
1993,190.38
1992,195.51
1991,174.44
1990,166.87
1989,133.26
1988,133.59
1987,121.77
1986,97.38
