Fiscal quarter,Revenue in billion U.S. dollars
Q4 '14,0.41
Q3 '14,0.44
Q2 '14,0.46
Q1 '14,0.97
Q4 '13,0.57
Q3 '13,0.73
Q2 '13,0.96
Q1 '13,2.14
Q4 '12,0.82
Q3 '12,1.06
Q2 '12,1.21
Q1 '12,2.53
Q4 '11,1.1
Q3 '11,1.33
Q2 '11,1.6
Q1 '11,3.43
Q4 '10,1.48
Q3 '10,1.55
Q2 '10,1.86
Q1 '10,3.39
Q4 '09,1.56
Q3 '09,1.49
Q2 '09,1.67
Q1 '09,3.37
Q4 '08,1.66
Q3 '08,1.68
Q2 '08,1.82
Q1 '08,4.0
Q4 '07,1.62
Q3 '07,1.57
Q2 '07,1.69
Q1 '07,3.43
Q4 '06,1.56
Q3 '06,1.5
Q2 '06,1.71
Q1 '06,2.91
