Characteristic,GDP per capita in U.S. dollars
2026*,1114.06
2025*,1052.83
2024*,982.74
2023*,916.7
2022*,851.66
2021*,820.58
2020*,818.99
2019*,816.36
2018*,795.76
2017*,784.14
2016*,759.49
2015*,759.76
2014*,751.99
2013*,733.79
2012,732.08
2011,677.6
2010,614.8
2009,587.04
2008,547.5
2007,443.73
2006,369.72
2005,294.34
2004,244.04
2003,222.52
2002,206.57
2001,212.11
2000,223.14
1999,239.57
1998,285.21
1997,291.41
1996,226.72
1995,206.78
1994,188.38
1993,274.72
1992,267.29
1991,252.04
1990,352.16
1989,376.97
1988,373.32
1987,361.18
1986,336.62
