Characteristic,Number of businesses
Wholesale and retail trade,220055
Accommodation and food service activities,132475
Transportation,94759
"Membership organizations, repair and other personal services",69345
Manufacturing,57321
Real estate activities and renting and leasing,43611
"Professional, scientific and technical activities",42782
Education,35761
Human health and social work activities,29168
"Arts, sports and recreation related services",23527
Information and communications,23356
Construction,21626
Business facilities management and business support services,16354
Financial and insurance activities,11444
Public administration and defense,1296
"Sewerage, waste management, materials recovery and remediation activities",475
"Electricity, gas, steam and water supply",225
"Agriculture, forestry and fishing",24
Mining and quarrying,20
