Characteristic,Expenses in million U.S. dollars
2020 Q4,2.11
2020 Q3,1.93
2020 Q2,1.69
2020 Q1,1.8
2019 Q4,2.74
2019 Q3,2.77
2019 Q2,2.94
2019 Q1,3.36
2018 Q4,4.9
2018 Q3,5.46
2018 Q2,5.83
2018 Q1,5.02
2017 Q4,4.42
2017 Q3,4.17
2017 Q2,5.93
2017 Q1,3.52
2016 Q4,3.58
2016 Q3,3.81
2016 Q2,4.24
2016 Q1,3.8
2015 Q4,3.29
2015 Q3,3.65
2015 Q2,4.62
2015 Q1,5.47
2014 Q4,3.78
2014 Q3,3.94
2014 Q2,5.29
2014 Q1,3.82
2013 Q4,3.98
2013 Q3,3.37
2013 Q2,3.36
2013 Q1,3.35
2012 Q4,3.35
2012 Q3,4.18
2012 Q2,3.92
2012 Q1,5.03
2011 Q4,3.76
2011 Q3,2.38
2011 Q2,2.06
2011 Q1,1.48
2010 Q4,1.24
2010 Q3,1.2
2010 Q2,1.34
2010 Q1,1.38
