Characteristic,Unique users in millions
Ströer Digital,36.77
Axel Springer Media Impact,33.44
InteractiveMedia CCSP,33.09
SevenOne Media,32.52
TOMORROW FOCUS MEDIA,31.17
United Internet Media,30.95
IP Deutschland,28.13
OMS,25.13
eBay Advertising Group Deutschland,22.43
G+J Electronic Media Sales,22.13
Yahoo! Deutschland,20.62
iq digital,17.14
SPIEGEL QC,14.5
netpoint media,10.39
BAUER ADVERTISING,9.93
MAIRDUMONT MEDIA,9.8
Urban Media,8.46
Weischer Online,8.11
Unister Media,7.84
Triad Retail Media,7.26
