Characteristic,Amount in billion U.S. dollars
National Indemnity Company,27.58
Everest Reinsurance Company,8.22
Swiss Reinsurance America Corporation,8.11
XL Reinsurance America,7.61
"Munich Re America, Corp.",5.49
Transatlantic Reinsurance Company,4.74
Odyssey Group,4.16
General Re Group,3.85
SCOR U.S. Corporation,2.61
Partner Reinsurance Company of the U.S.,2.17
Endurance Reinsurance Corporation,1.89
Renaissance Reinsurance US Inc.,1.49
American Agricultural Ins. Co.,1.29
AXIS Reinsurance Company,1.05
The Toa Reinsurance Company of America,0.59
Sirius America Insurance Company,0.52
EMC Reinsurance Company,0.21
