Characteristic,Games played
PC Intemazionale Milano,191
Sporting Clube de Portugal,187
Club Brugge,182
PSV Eindhoven,165
RSC Anderlecht,154
Tottenham Hotspur,153
FK Crvena zvezdo,149
AFC Ajax,149
PAOK FC,148
Sevilla FC,145
Feyenoord,145
AS Rama,145
FCSB,145
AZ Alkmaar,142
FC Girondins de Bordeaux,142
SS Lazio,137
Athletic Club,136
Valencia CF,133
SL Benfica,133
VfB Stuttgart,132
Villarreal CF,125
Hamburger SV,124
Liverpool FC,124
Juventus,120
Club Atletieo de Madrid,117
