Characteristic,Average price per night in U.S. dollars
"Tirana, Albania",30
"Madeira, Portugal",35
"Delft, Netherlands",41
"Bangkok, Thailand",41
"Sofia, Bulgaria",42
"Bucharest, Romania",44
"Belgrade, Serbia",44
"Hammamet, Tunisia",46
"Sarajevo, Bosnia and Herzegovina",47
"Mons, Belgium",50
"Reims, France",55
"Zagreb, Croatia",56
"Tbilisi, Georgia",56
"Dortmund, Germany",56
"Athens, Greece",56
"Warsaw, Poland",56
"Antalya, Turkey",56
"Cairo, Egypt",57
"Crete, Greece",57
"Budapest, Hungary",59
