"Firm (Headquarters, Fiscal Year End)",Revenue in the U.S. in billion U.S. dollars
"Deloitte*(New York City, June)",23.16
"PwC*(New York City, June)",18.0
"Ernst & Young*(New York City, June)",15.82
"KPMG*(New York City, September)",9.57
"RSM U.S.(Chicago, December)",2.79
"Grant Thornton(Chicago, July)",1.92
"BDO USA(Chicago, April)",1.8
CLA(December),1.19
"Crowe(Chicago, December)",0.93
"CBIZ & MHM(Cleveland, December)",0.82
"Moss Adams(Seattle, December)",0.82
"Baker Tilly(Chicago, May)",0.79
"Plante Moran(Southfiedl, Mich., June)",0.75
"BKD(Springfield, Mo., May)",0.69
"Marcum(New York City, December)",0.68
