Characteristic,Import volume in billion U.S. dollars
2020,595.78
2019,677.4
2018,664.79
2017,611.73
2016,571.22
2015,592.74
2014,645.02
2013,613.06
2012,601.86
2011,578.2
2010,507.62
2009,402.9
2008,555.43
2007,527.77
2006,500.69
2005,460.49
2004,412.26
2003,359.65
2002,343.7
2001,347.61
2000,366.76
1999,308.43
1998,267.89
1997,253.17
1996,230.19
1995,206.47
1994,177.9
1993,151.13
1992,133.84
1991,122.19
1990,121.54
1989,115.12
1988,104.66
1987,91.36
1986,85.55
1985,88.14
