Characteristic,Inflation rate compared to previous year
2026*,3.16%
2025*,3.16%
2024*,3.18%
2023*,3.97%
2022*,4.71%
2021*,3.26%
2020*,4.99%
2019,3.68%
2018,4.67%
2017,5.44%
2016,6.67%
2015,6%
2014,5.22%
2013,4.96%
2012,4.54%
2011,4.44%
2010,5.1%
2009,6.91%
2008,10.77%
2007,0.91%
2006,2.37%
2005,1.78%
2004,2.16%
2003,14.71%
2002,11.8%
2001,9.3%
2000,15.6%
1999,14.93%
1998,13.59%
1997,3.94%
1996,11.63%
1995,17.28%
1994,2.85%
1993,4.98%
1992,4.31%
1991,6.97%
1990,6.95%
1989,4.48%
1988,5.45%
1987,3.34%
1986,5.45%
